Month,artificial intelligence,Computer Science,Statistics
2004-01,7,33,89
2004-02,7,31,95
2004-03,7,31,100
2004-04,7,29,100
2004-05,7,27,93
2004-06,6,27,79
2004-07,6,24,66
2004-08,6,24,68
2004-09,7,32,83
2004-10,6,28,89
2004-11,7,27,92
2004-12,6,24,73
2005-01,6,27,74
2005-02,6,27,82
2005-03,6,25,82
2005-04,5,24,87
2005-05,6,23,83
2005-06,5,22,68
2005-07,5,19,56
2005-08,5,19,59
2005-09,5,25,69
2005-10,6,23,75
2005-11,5,21,81
2005-12,5,20,62
2006-01,5,22,63
2006-02,5,21,69
2006-03,5,20,72
2006-04,5,18,70
2006-05,5,18,69
2006-06,5,17,57
2006-07,4,15,46
2006-08,5,16,47
2006-09,5,20,55
2006-10,5,18,60
2006-11,5,18,62
2006-12,4,16,48
2007-01,4,18,52
2007-02,4,17,54
2007-03,5,16,55
2007-04,5,15,56
2007-05,5,16,56
2007-06,5,15,46
2007-07,4,13,40
2007-08,4,14,42
2007-09,5,17,49
2007-10,5,16,54
2007-11,5,16,56
2007-12,4,14,43
2008-01,4,16,46
2008-02,5,15,47
2008-03,5,14,49
2008-04,4,14,53
2008-05,4,13,49
2008-06,4,13,42
2008-07,4,11,36
2008-08,4,11,35
2008-09,4,15,44
2008-10,5,14,48
2008-11,5,14,49
2008-12,4,12,39
2009-01,4,14,40
2009-02,4,14,46
2009-03,4,13,48
2009-04,4,12,49
2009-05,4,13,46
2009-06,4,12,41
2009-07,5,11,33
2009-08,5,11,36
2009-09,5,15,44
2009-10,5,14,47
2009-11,5,13,49
2009-12,5,12,38
2010-01,5,13,43
2010-02,5,13,45
2010-03,5,13,46
2010-04,5,12,47
2010-05,5,12,46
2010-06,4,11,40
2010-07,4,9,31
2010-08,5,10,31
2010-09,5,13,37
2010-10,5,12,40
2010-11,5,11,43
2010-12,5,10,33
2011-01,5,11,36
2011-02,5,11,39
2011-03,4,11,41
2011-04,5,10,40
2011-05,5,10,39
2011-06,4,10,34
2011-07,4,9,28
2011-08,5,9,29
2011-09,5,12,36
2011-10,5,11,37
2011-11,5,11,38
2011-12,5,10,31
2012-01,5,11,33
2012-02,4,11,36
2012-03,5,10,38
2012-04,4,9,37
2012-05,4,10,36
2012-06,4,9,32
2012-07,3,8,27
2012-08,3,8,28
2012-09,3,11,32
2012-10,4,11,35
2012-11,4,10,35
2012-12,4,9,29
2013-01,3,10,31
2013-02,3,10,34
2013-03,3,9,33
2013-04,3,9,36
2013-05,3,9,33
2013-06,4,9,28
2013-07,3,8,25
2013-08,3,8,26
2013-09,3,11,31
2013-10,3,10,34
2013-11,3,10,34
2013-12,3,9,27
2014-01,3,10,29
2014-02,3,10,32
2014-03,3,9,32
2014-04,3,9,33
2014-05,3,9,32
2014-06,3,9,30
2014-07,3,8,25
2014-08,3,8,25
2014-09,3,12,31
2014-10,3,10,32
2014-11,3,10,33
2014-12,3,9,27
2015-01,4,10,28
2015-02,3,10,31
2015-03,3,10,33
2015-04,3,9,34
2015-05,4,9,31
2015-06,4,9,27
2015-07,4,8,23
2015-08,3,8,23
2015-09,4,11,30
2015-10,3,11,31
2015-11,4,11,32
2015-12,3,9,27
2016-01,4,10,27
2016-02,3,10,31
2016-03,5,9,31
2016-04,4,10,33
2016-05,4,9,31
2016-06,4,8,29
2016-07,3,7,23
2016-08,3,7,23
2016-09,4,11,29
2016-10,4,11,31
2016-11,5,10,31
2016-12,5,9,26
2017-01,5,10,28